Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
2,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
3,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
4,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
5,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
6,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
7,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
8,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
9,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
10,1.0,0.007286733216869042,1.0,1.0,22.850571606618164,0.6646277719385484
