DataSet,psnr,ssim
Set5,28.259963679650035,0.8138710618019104
Set14,25.336468949230127,0.7219409346580505
BSD100,25.54651182653114,0.6900438496470451
Urban100,23.271841584164246,0.7055652341246605
SunHays80,No data,No data
